ID	Target	Tweet	Stance
10000	Climate Change is a Real Concern	San Luis Obispo Approves Large Retrofit Project https://t.co/CI95NUs9p #energy #efficiency #CA #usa #climate #nicejob	FAVOR
10001	Climate Change is a Real Concern	China lied? Really? They all lie. Just know that. #Climate #TruthTelling #WhatTheWhat	NONE
10002	Climate Change is a Real Concern	join us on 9/11 in Brussels at this event https://t.co/6CcFtwYAUw #FoodSecurity #Climate &amp; #PrivateSector w GerdaVerburg europeaid Nestle…	FAVOR
10003	Climate Change is a Real Concern	#Fact check: Did #money #create #humanity? No! Will it #save us re #climate #change? No! Do we #know #better at #methodology levels? #Yes!	AGAINST
10004	Climate Change is a Real Concern	First coffee, now this.... truly, tis the end of days. #climatechange #beer #coffee #Whybotherliving https://t.co/l1nPC5VYPh	NONE
10005	Climate Change is a Real Concern	Cool #climate change apps from NASA. @NRDC  https://t.co/uLie2LyG3Y	AGAINST
10006	Climate Change is a Real Concern	I'm Officially Part of the #ClimateSolutionCrowd that's Solving the #Climate Crisis https://t.co/kq54KRtp5z	FAVOR
10007	Climate Change is a Real Concern	Canada now has a Minister of #Environment AND #Climate Change https://t.co/iF5zbZJWpZ via @DeSmogCanada #cdnpoli	AGAINST
10008	Climate Change is a Real Concern	Runaway #climate change could be closer than you think.  Please join the revolution at  https://t.co/bDvGWGPQEu	AGAINST
10009	Climate Change is a Real Concern	Big welcome to @cathmckenna, Canada's new Environment and #Climate Change Minister! https://t.co/RS7Qvi0zPM #cdnpoli https://t.co/3zbmjZEFvh	AGAINST
10010	Climate Change is a Real Concern	Our children need to be protected from #climate pollution! Tell your Governor: https://t.co/MwAGVwT0dD via @CleanAirMoms #CleanPowerPlan	FAVOR
10011	Climate Change is a Real Concern	EU #Energy &amp; #Climate 4 Nov 2015 https://t.co/wcH6QnsUvc #EnergyUnion #SOTEUEU #G20 #COP21 #VWgate #DieselGate #AutoGate #BetterRegulation	FAVOR
10012	Climate Change is a Real Concern	"Shorten refuses to back coal mine moratorium". Was he listening on tour of vulnerable island states? https://t.co/7WH1pY3MrL #climate	FAVOR
10013	Climate Change is a Real Concern	#World #Climate The Senate Just Voted To Overturn The EPA’s Clean Water Rule https://t.co/NIXYqO8TPr via @thinkprogress	NONE
10014	Climate Change is a Real Concern	#Exxon's been lying on #climate for decades and it's time to hold them responsible. Tell the DOJ: investigate Exxon. https://t.co/VxySzymd4Y	FAVOR
10015	Climate Change is a Real Concern	Noise trumps logic in Clean Power Plan lawsuits: @Policyintegrity https://t.co/cPPmTAo7Xa #cleanenergy #cleanair #climate	FAVOR
10016	Climate Change is a Real Concern	Economic growth in Australia does not have to cost the Earth: CSIRO - via @abcnews #renewables #climate  https://t.co/B3UJ2coEBf	FAVOR
10017	Climate Change is a Real Concern	#Planetary #Remediation CAN be done by us, The People of the World https://t.co/bRp5OVoh7J  #indigenous #climate #land #sea @UN @NobelPrize	FAVOR
10018	Climate Change is a Real Concern	World leaders will you listen to #climate proof? We need to act NOW! https://t.co/gZIL8YNMvw #COP21 #btogether15 https://t.co/xsRuthwwSQ	FAVOR
10019	Climate Change is a Real Concern	Legislation offers limited flexibility to cope with #water quality challenges imposed by #climate change https://t.co/icc4ljjDmy	AGAINST
10020	Climate Change is a Real Concern	National Geographic Society sets biggest layoff in its history https://t.co/wfw7F7O1tk || #RIPNatGeo #climate #science #sciencecommunication	FAVOR
10021	Climate Change is a Real Concern	International financing for forests &amp; #climate moves from capacity building to implementation. https://t.co/RTZUlwIDwJ	FAVOR
10022	Climate Change is a Real Concern	UN Report Measures Significant Progress Ahead of Paris #Climate Talks https://t.co/khNPxUs9zM @ClimateNexus #COP21 https://t.co/zL2eXFY3th	FAVOR
